Designator,Mid X,Mid Y,Rotation,Layer
C1,107.72,-45.25,0.0,top
C2,108.31,-42.0,0.0,top
C3,113.6925,-45.24,180.0,top
CIN1,92.66,-40.51,180.0,top
CIN2,94.11,-47.95,270.0,top
COUT1,83.36,-61.36,90.0,top
COUT2,77.32,-60.21,270.0,top
D1,72.26,-40.18,270.0,top
IC1,107.63,-54.47,270.0,top
J1,80.56,-31.83,180.0,top
J2,91.99,-31.83,180.0,top
J3,84.45,-67.26,0.0,top
J4,103.43,-31.83,180.0,top
J6,89.54,-49.04,270.0,bottom
L1,90.41,-59.78,270.0,top
Q1,103.97,-38.07,270.0,top
R1,101.55,-43.45,180.0,top
R2,114.76,-38.09,90.0,top
R3,96.55,-64.69,270.0,top
R4,100.12,-38.68,270.0,top
R5,89.46,-38.16,90.0,bottom
R6,94.15,-50.26,180.0,bottom
R7,94.37,-54.06,180.0,bottom
S1,110.57,-37.87,0.0,top
S2,101.76,-65.46,180.0,top
U1,79.965,-47.425,270.0,top
